Jugador,Nacimiento,Edad,Nación,Altura,Peso,PJ,Goles,Asistencias,TA,TAR,TR,Desde,De,BL,Número,Contrato,Selección,Club
Kristijan Jakic,14.05.1997,26,Croacia,181,75,24,1,2,4,0,0,30.08.2021,Dinamo Zagreb,50,6,30.06.2026,5,Eintracht Frankfurt
Daichi Kamada,05.08.1996,26,Japón,184,76,32,9,9,3,0,0,01.07.2019,K. Sint-Truidense VV,127,15,30.06.2023,28,Eintracht Frankfurt
Ansgar Knauff,10.01.2002,21,Alemania,180,73,24,1,2,2,0,0,20.01.2022,Borussia Dortmund,45,36,30.06.2023,No,Eintracht Frankfurt
Jesper Lindström,29.02.2000,23,Dinamarca,182,66,27,7,4,2,0,0,11.07.2021,Bröndby IF,56,29,30.06.2026,9,Eintracht Frankfurt
Mehdi Loune,14.05.2004,19,Alemania,172,70,0,0,0,0,0,0,01.07.2016,FSV Frankfurt,0,45,30.06.2025,No,Eintracht Frankfurt
Sebastian Rode,11.10.1990,32,Alemania,180,71,27,4,1,6,0,0,27.07.2019,Borussia Dortmund,225,17,30.06.2024,No,Eintracht Frankfurt
Djibril Sow,06.02.1997,26,Suiza,184,76,32,4,0,9,0,0,01.07.2019,Young Boys Bern,121,8,30.06.2024,36,Eintracht Frankfurt
Marcel Wenig,04.05.2004,19,Alemania,187,79,1,0,0,0,0,0,01.07.2022,Bayern München,1,28,30.06.2025,No,Eintracht Frankfurt
Lucas Alario,08.10.1992,30,Argentina,185,79,20,1,0,0,0,0,01.07.2022,Bayer 04 Leverkusen,146,21,30.06.2025,9,Eintracht Frankfurt
Faride Alidou,18.07.2001,21,Alemania,186,84,15,0,1,0,0,0,01.07.2022,Hamburger SV,15,11,30.06.2026,No,Eintracht Frankfurt
Rafael Santos Borré,15.09.1995,27,Colombia,174,70,32,2,2,5,0,0,05.07.2021,River Plate,63,19,30.06.2025,22,Eintracht Frankfurt
Randal Kolo Muani,05.12.1998,24,Francia,187,77,32,15,16,4,1,0,01.07.2022,FC Nantes,32,9,30.06.2027,7,Eintracht Frankfurt
Dario Gebuhr,06.05.2003,20,Alemania,N.D.,N.D.,1,0,0,0,0,0,01.07.2017,SV Wehen Wiesbaden,1,46,N.D.,No,Eintracht Frankfurt
Luca Pellegrini,07.03.1999,24,Italia,178,72,9,0,0,1,0,0,31.01.2023,Eintracht Frankfurt,9,33,N.D.,1,Eintracht Frankfurt
Filip Kostic,01.11.1992,30,Serbia,184,84,1,0,0,1,0,0,12.08.2022,Eintracht Frankfurt,249,10,N.D.,53,Eintracht Frankfurt
Rafal Gikiewicz,26.10.1987,35,Polonia,190,81,23,0,0,3,0,0,01.07.2020,1. FC Union Berlin,126,1,30.06.2023,0,FC Augsburg
Daniel Klein,19.08.1981,41,Alemania,184,80,0,0,0,0,0,0,01.01.2005,Borussia Neunkirchen,0,0,N.D.,No,FC Augsburg
Tomas Koubek,26.08.1992,30,Chequia,198,95,11,0,0,0,0,0,06.08.2019,Stade Rennes,35,40,30.06.2024,12,FC Augsburg
Benjamin Leneis,08.03.1999,24,Alemania,195,92,0,0,0,0,0,0,01.07.2022,1. FC Magdeburg,0,39,30.06.2023,No,FC Augsburg
Maximilian Bauer,09.02.2000,23,Alemania,189,84,27,0,1,8,0,0,01.07.2022,SpVgg Greuther Fürth,53,23,30.06.2027,No,FC Augsburg
David Colina,19.07.2000,22,Croacia,174,68,7,1,0,0,0,0,14.01.2023,Hajduk Split,7,38,30.06.2027,No,FC Augsburg
Jeffrey Gouweleeuw,10.07.1991,31,Países Bajos,188,78,32,0,2,12,0,0,09.01.2016,AZ Alkmaar,195,6,30.06.2024,No,FC Augsburg
Robert Gumny,04.06.1998,24,Polonia,177,61,29,1,2,5,0,1,02.09.2020,Lech Posen,81,2,30.06.2025,6,FC Augsburg
Reece Oxford,16.12.1998,24,Inglaterra,191,78,3,0,0,0,0,0,02.08.2019,West Ham United,84,4,30.06.2025,No,FC Augsburg
Mads Pedersen,01.09.1996,26,Dinamarca,178,74,28,0,0,6,0,0,15.07.2020,FC Zürich,74,3,30.06.2024,0,FC Augsburg
Felix Uduokhai,09.09.1997,25,Alemania,192,78,19,0,1,3,0,1,28.08.2019,VfL Wolfsburg,117,19,30.06.2024,0,FC Augsburg
Aaron Zehnter,22.04.1997,26,España,178,70,28,5,3,3,0,0,01.07.2021,Celta Vigo,116,3,30.06.2023,No,FC Augsburg
Julian Baumgartlinger,02.01.1988,35,Austria,184,84,16,0,0,1,0,0,16.08.2022,Bayer 04 Leverkusen,255,14,30.06.2023,84,FC Augsburg
Daniel Caligiuri,15.01.1988,35,Italia,182,80,13,1,0,1,0,0,01.07.2020,FC Schalke 04,372,20,30.06.2023,No,FC Augsburg
Niklas Dorsch,15.01.1998,25,Alemania,178,76,11,0,0,1,0,0,08.07.2021,KAA Gent,42,30,30.06.2026,No,FC Augsburg
Arne Engels,09.09.2003,19,Bélgica,184,71,18,0,4,5,0,0,03.01.2023,Club Brügge,18,27,30.06.2027,No,FC Augsburg
André Hahn,13.08.1990,32,Alemania,185,80,7,2,1,1,0,0,01.07.2018,Hamburger SV,250,28,30.06.2023,1,FC Augsburg
Fredrik Jensen,09.09.1997,25,Finlandia,183,80,20,2,1,1,0,0,01.07.2018,Twente Enschede,61,24,30.06.2025,26,FC Augsburg
Arne Maier,08.01.1999,24,Alemania,186,82,30,5,1,3,0,0,09.08.2021,Hertha BSC,133,10,30.06.2025,No,FC Augsburg
Elvis Rexhbecaj,01.11.1997,25,Alemania,182,75,31,0,0,6,0,0,27.07.2022,VfL Wolfsburg,134,13,30.06.2026,No,FC Augsburg
Noah Joel Sarenren Bazee,21.08.1996,26,Alemania,182,70,2,0,0,0,0,0,01.07.2019,Hannover 96,46,17,30.06.2024,No,FC Augsburg
Tobias Strobl,12.05.1990,33,Alemania,188,87,5,0,0,1,0,0,01.07.2020,Bor. Mönchengladbach,186,5,30.06.2023,No,FC Augsburg
Ruben Vargas,05.08.1998,24,Suiza,178,68,23,3,5,4,0,0,01.07.2019,FC Luzern,115,16,30.06.2025,33,FC Augsburg
Dion Drena Beljo,01.03.2002,21,Croacia,195,84,18,3,3,2,0,0,13.01.2023,NK Osijek,18,7,30.06.2027,No,FC Augsburg
Mergim Berisha,11.05.1998,25,Alemania,188,81,23,9,4,7,1,0,31.08.2022,Fenerbahce SK,23,11,30.06.2023,2,FC Augsburg
Irvin Cardona,08.08.1997,25,Francia,185,76,10,1,1,2,0,0,18.01.2023,Stade Brest,10,48,30.06.2027,No,FC Augsburg
Ermedin Demirovic,25.03.1998,25,Bosnia-Herzegovina,185,85,30,8,6,7,0,1,08.07.2022,SC Freiburg,91,9,30.06.2026,17,FC Augsburg
Nathanael Mbuku,16.03.2002,21,Francia,170,65,2,0,0,0,0,0,30.01.2023,Stade Reims,2,34,30.06.2027,No,FC Augsburg
Kelvin Yeboah,06.05.2000,23,Italia,182,73,13,1,2,0,0,0,18.01.2023,CFC Genua 1893,13,45,30.06.2023,No,FC Augsburg
Raphael Framberger,06.09.1995,27,Alemania,179,76,3,0,0,0,0,0,11.01.2023,FC Augsburg,84,32,30.06.2023,No,FC Augsburg
Frederik Winther,04.01.2001,22,Dinamarca,186,77,1,0,1,0,0,0,31.01.2023,FC Augsburg,5,26,N.D.,No,FC Augsburg
Carlos Gruezo,19.04.1995,28,Ecuador,171,67,13,0,0,5,0,0,31.01.2023,FC Augsburg,87,8,N.D.,47,FC Augsburg
Lukas Petkov,01.11.2000,22,Alemania,183,76,7,0,0,1,0,0,31.01.2023,FC Augsburg,8,21,30.06.2023,No,FC Augsburg
Florian Niederlechner,24.10.1990,32,Alemania,187,86,30,5,1,3,0,0,18.01.2023,FC Augsburg,197,7,30.06.2025,No,FC Augsburg
Ricardo Pepi,09.01.2003,20,Estados Unidos,185,74,4,0,0,0,0,0,31.08.2022,FC Augsburg,15,18,N.D.,14,FC Augsburg
Tom Ritzy Hülsmann,11.04.2004,19,Alemania,200,89,0,0,0,0,0,0,01.07.2017,Eintracht Trier,0,0,30.06.2024,No,FC Bayern Muenchen
Manuel Neuer,27.03.1986,37,Alemania,193,93,12,0,0,0,0,0,01.07.2011,FC Schalke 04,478,1,30.06.2024,117,FC Bayern Muenchen
Johannes Schenk,13.01.2003,20,Alemania,191,82,0,0,0,0,0,0,01.07.2017,1. FC Nürnberg,0,35,30.06.2024,No,FC Bayern Muenchen
Yann Sommer,17.12.1988,34,Suiza,183,79,29,0,0,1,0,0,19.01.2023,Bor. Mönchengladbach,291,27,30.06.2025,82,FC Bayern Muenchen
Sven Ulreich,03.08.1988,34,Alemania,192,87,3,0,0,1,0,0,01.07.2021,Hamburger SV,230,26,30.06.2024,0,FC Bayern Muenchen
Daley Blind,09.03.1990,33,Países Bajos,180,72,4,0,0,0,0,0,05.01.2023,Ajax Amsterdam,4,23,30.06.2023,101,FC Bayern Muenchen
Alphonso Davies,02.11.2000,22,Canadá,183,75,26,1,4,0,0,0,01.01.2019,Vancouver Whitecaps,106,19,30.06.2025,40,FC Bayern Muenchen
Matthijs de Ligt,12.08.1999,23,Países Bajos,188,89,31,3,2,4,0,0,19.07.2022,Juventus Turin,31,4,30.06.2027,41,FC Bayern Muenchen
Lucas Hernandez,14.02.1996,27,Francia,184,79,7,0,0,1,0,0,01.07.2019,Atletico Madrid,74,21,30.06.2024,33,FC Bayern Muenchen
Joao Cancelo,27.05.1994,29,Portugal,182,72,15,1,4,3,0,0,31.01.2023,Manchester City,15,22,30.06.2023,42,FC Bayern Muenchen
Noussair Mazraoui,14.11.1997,25,Marruecos,183,78,19,1,3,0,0,0,01.07.2022,Ajax Amsterdam,19,40,30.06.2026,22,FC Bayern Muenchen
Benjamin Pavard,28.03.1996,27,Francia,186,81,30,4,1,6,0,0,01.07.2019,VfB Stuttgart,174,5,30.06.2024,48,FC Bayern Muenchen
Bouna Sarr,31.01.1992,31,Senegal,177,69,1,0,0,0,0,0,05.10.2020,Olympique Marseille,14,20,30.06.2024,No,FC Bayern Muenchen
Josip Stanisic,02.04.2000,23,Croacia,186,77,14,0,0,1,0,0,17.01.2017,SC Fürstenfeldbruck,28,44,30.06.2026,9,FC Bayern Muenchen
Dayot Upamecano,27.10.1998,24,Francia,186,90,29,0,2,6,0,1,05.07.2021,RB Leipzig,169,2,30.06.2026,14,FC Bayern Muenchen
Kingsley Coman,13.06.1996,26,Francia,180,76,24,8,6,0,1,0,30.08.2015,Juventus Turin,182,11,30.06.2027,47,FC Bayern Muenchen
Serge Gnabry,14.07.1995,27,Alemania,176,77,34,14,7,0,0,0,01.07.2018,TSG Hoffenheim,205,7,30.06.2026,41,FC Bayern Muenchen
Leon Goretzka,06.02.1995,28,Alemania,189,82,27,3,3,5,0,0,01.07.2018,FC Schalke 04,240,8,30.06.2026,50,FC Bayern Muenchen
Ryan Gravenberch,16.05.2002,21,Países Bajos,190,81,24,0,0,1,0,0,01.07.2022,Ajax Amsterdam,24,38,30.06.2027,11,FC Bayern Muenchen
Joshua Kimmich,08.02.1995,28,Alemania,177,75,33,5,6,4,1,0,01.07.2015,RB Leipzig,234,6,30.06.2025,76,FC Bayern Muenchen
Thomas Müller,13.09.1989,33,Alemania,185,76,27,7,10,0,0,0,01.07.2000,TSV Pähl,442,25,30.06.2024,121,FC Bayern Muenchen
Jamal Musiala,26.02.2003,20,Alemania,184,72,33,12,13,1,0,0,04.07.2019,FC Chelsea,90,42,30.06.2026,20,FC Bayern Muenchen
Leroy Sané,11.01.1996,27,Alemania,183,80,32,8,9,4,0,0,15.07.2020,Manchester City,143,10,30.06.2025,50,FC Bayern Muenchen
Paul Wanner,23.12.2005,17,Alemania,185,72,2,0,0,1,0,0,01.07.2018,FV Ravensburg,6,14,30.06.2027,No,FC Bayern Muenchen
Eric Maxim Choupo-Moting,23.03.1989,34,Camerún,191,90,19,10,2,0,0,0,01.09.2020,Paris St. Germain,265,13,30.06.2024,72,FC Bayern Muenchen
Sadio Mané,10.04.1992,31,Senegal,175,69,25,7,6,2,0,0,01.07.2022,FC Liverpool,25,17,30.06.2025,95,FC Bayern Muenchen
Mathys Tel,27.04.2005,18,Francia,181,67,22,5,0,2,0,0,26.07.2022,Stade Rennes,22,39,30.06.2027,No,FC Bayern Muenchen
Arijon Ibrahimovic,11.12.2005,17,Alemania,N.D.,N.D.,1,0,0,0,0,0,01.07.2018,1. FC Nürnberg,1,46,N.D.,No,FC Bayern Muenchen
Marcel Sabitzer,17.03.1994,29,Austria,178,76,15,1,1,2,0,0,01.02.2023,Bayern München,185,18,N.D.,69,FC Bayern Muenchen
Gabriel Vidovic,01.12.2003,19,Croacia,180,71,1,0,1,0,0,0,30.08.2022,Bayern München,4,28,N.D.,No,FC Bayern Muenchen
Ralf Fährmann,27.09.1988,34,Alemania,197,98,12,0,0,0,0,0,01.07.2020,Brann Bergen,230,1,30.06.2025,No,FC Schalke 04
Justin Heekeren,27.11.2000,22,Alemania,194,86,0,0,0,0,0,0,01.07.2022,Rot-Weiß Oberhausen,0,28,30.06.2025,No,FC Schalke 04
Michael Langer,06.01.1985,38,Austria,195,93,0,0,0,0,0,0,04.08.2017,IFK Norrköping,0,34,30.06.2023,No,FC Schalke 04
Alexander Schwolow,02.06.1992,30,Alemania,190,84,23,0,0,1,0,0,01.07.2022,Hertha BSC,199,13,30.06.2023,No,FC Schalke 04
Cedric Brunner,17.02.1994,29,Suiza,180,75,28,0,0,5,0,0,07.07.2022,Arminia Bielefeld,86,27,30.06.2024,No,FC Schalke 04
Ibrahima Cissé,28.02.1994,29,Guinea,184,77,0,0,0,0,0,0,08.09.2022,RFC Seraing,0,0,N.D.,No,FC Schalke 04
Leo Greiml,03.07.2001,21,Austria,186,77,7,0,0,2,0,0,01.07.2022,Rapid Wien,7,3,30.06.2025,No,FC Schalke 04
Moritz Jenz,30.04.1999,24,Alemania,190,86,11,0,0,5,0,0,26.01.2023,Celtic Glasgow,11,25,30.06.2023,No,FC Schalke 04
Marcin Kaminski,15.01.1992,31,Polonia,192,84,8,2,1,0,0,0,01.07.2021,VfB Stuttgart,63,35,30.06.2023,7,FC Schalke 04
Henning Matriciani,14.03.2000,23,Alemania,187,76,22,0,0,1,0,0,01.07.2020,SV Lippstadt 08,23,41,30.06.2024,No,FC Schalke 04
Thomas Ouwejan,30.09.1996,26,Países Bajos,178,77,17,0,1,1,0,0,01.07.2021,Udinese Calcio,17,2,30.06.2024,No,FC Schalke 04
Jere Uronen,13.07.1994,28,Finlandia,177,74,11,0,0,2,0,0,07.01.2023,Stade Brest,11,18,30.06.2023,61,FC Schalke 04
Sepp van den Berg,20.12.2001,21,Países Bajos,189,79,9,1,0,2,0,0,30.08.2022,FC Liverpool,9,5,30.06.2023,No,FC Schalke 04
Maya Yoshida,24.08.1988,34,Japón,189,90,29,0,0,4,0,0,05.07.2022,Sampdoria Genua,29,4,30.06.2023,126,FC Schalke 04
Mehmet Aydin,09.02.2002,21,Turquía,179,76,16,0,0,0,0,0,01.07.2014,Bor. Mönchengladbach,22,23,30.06.2025,0,FC Schalke 04
Eder Balanta,28.02.1993,30,Colombia,181,84,6,0,0,3,0,0,31.01.2023,Club Brügge,6,33,30.06.2023,No,FC Schalke 04
Dominick Drexler,26.05.1990,33,Alemania,182,71,27,4,3,3,0,1,21.07.2021,1. FC Köln,81,24,30.06.2023,No,FC Schalke 04
Alex Kral,19.05.1998,25,Chequia,187,74,29,0,1,3,0,0,14.07.2022,West Ham United,29,30,30.06.2023,35,FC Schalke 04
Tom Krauß,22.06.2001,21,Alemania,182,72,32,2,0,8,0,0,01.07.2022,1. FC Nürnberg,33,6,30.06.2023,No,FC Schalke 04
Danny Latza,07.12.1989,33,Alemania,179,73,20,0,1,2,0,0,01.07.2021,1. FSV Mainz 05,176,8,30.06.2023,No,FC Schalke 04
Tobias Mohr,24.08.1995,27,Alemania,183,78,18,0,4,0,0,0,01.07.2022,1. FC Heidenheim,18,29,30.06.2025,No,FC Schalke 04
Tim Skarke,07.09.1996,26,Alemania,180,70,12,1,1,1,0,0,23.01.2023,1. FC Union Berlin,12,20,30.06.2023,No,FC Schalke 04
Niklas Tauer,17.02.2001,22,Alemania,183,74,3,0,0,0,0,0,01.01.2023,1. FSV Mainz 05,19,21,30.06.2024,No,FC Schalke 04
Rodrigo Zalazar,12.08.1999,23,Uruguay,178,78,22,1,6,4,0,0,04.08.2021,Eintracht Frankfurt,22,10,30.06.2026,No,FC Schalke 04
Marius Bülter,29.03.1993,30,Alemania,188,85,33,11,4,5,0,0,01.07.2021,1. FC Union Berlin,91,11,30.06.2024,No,FC Schalke 04
Michael Frey,19.07.1994,28,Suiza,190,93,15,0,3,2,0,0,20.01.2023,Royal Antwerp FC,15,26,30.06.2023,0,FC Schalke 04
Kenan Karaman,05.03.1994,29,Turquía,189,83,21,1,2,2,0,0,01.09.2022,Besiktas JK,123,19,30.06.2025,31,FC Schalke 04
Soichiro Kozuki,22.12.2000,22,Japón,180,72,5,1,0,1,0,0,26.08.2022,1. FC Düren,5,38,30.06.2025,No,FC Schalke 04
Sebastian Polter,01.04.1991,32,Alemania,192,94,19,2,2,3,0,0,01.07.2022,VfL Bochum,116,40,30.06.2025,No,FC Schalke 04
Simon Terodde,02.03.1988,35,Alemania,192,83,32,5,1,5,0,0,01.07.2021,Hamburger SV,90,9,30.06.2023,No,FC Schalke 04
Timothee Kolodziejczak,01.10.1991,31,Francia,185,75,1,0,0,0,0,0,21.10.2022,AS St. Etienne,2,15,N.D.,No,FC Schalke 04
Malick Thiaw,08.08.2001,21,Alemania,191,80,3,0,0,2,0,0,29.08.2022,FC Schalke 04,26,33,N.D.,0,FC Schalke 04
Kerim Calhanoglu,26.08.2002,20,Alemania,180,80,3,0,0,0,0,0,01.01.2023,FC Schalke 04,7,42,N.D.,No,FC Schalke 04
Florian Flick,01.05.2000,23,Alemania,190,79,8,0,0,1,0,0,01.01.2023,FC Schalke 04,12,17,N.D.,No,FC Schalke 04
Andreas Ivan,10.01.1995,28,Rumania,N.D.,N.D.,1,0,0,0,0,0,01.07.2022,Rot Weiss Ahlen,1,37,N.D.,No,FC Schalke 04
Florent Mollet,19.11.1991,31,Francia,174,68,9,1,0,1,0,0,18.01.2023,FC Schalke 04,9,20,N.D.,No,FC Schalke 04
Jordan Larsson,20.06.1997,25,Suecia,175,68,11,0,0,0,0,0,28.01.2023,FC Schalke 04,11,7,N.D.,6,FC Schalke 04
Sidi Sané,21.04.2003,20,Alemania,N.D.,N.D.,1,0,0,0,0,0,01.07.2011,Bayer 04 Leverkusen,1,44,N.D.,No,FC Schalke 04
Keke Topp,21.04.2003,20,Alemania,N.D.,N.D.,1,0,0,0,0,0,01.07.2011,Bayer 04 Leverkusen,1,44,N.D.,No,FC Schalke 04
Oliver Christensen,22.03.1999,24,Dinamarca,191,85,33,0,0,2,0,0,26.08.2021,Odense BK,33,1,30.06.2026,1,Hertha BSC
Tjark Ernst,15.03.2003,20,Alemania,193,87,1,0,0,0,0,0,01.07.2022,VfL Bochum,1,12,30.06.2026,No,Hertha BSC
Rune Jarstein,29.09.1984,38,Noruega,190,88,0,0,0,0,0,0,01.01.2014,Viking Stavanger,164,22,30.06.2023,No,Hertha BSC
Robert Kwasigroch,26.06.2004,18,Alemania,192,77,0,0,0,0,0,0,01.07.2017,SC Berliner Amateure,0,33,30.06.2025,No,Hertha BSC
Marton Dardai,12.02.2002,21,Alemania,188,77,17,1,0,2,0,0,01.07.2011,1. FC Wilmersdorf,41,31,30.06.2025,No,Hertha BSC
Julian Eitschberger,05.03.2004,19,Alemania,180,72,1,0,0,0,0,0,01.07.2017,SC Staaken,2,42,30.06.2026,No,Hertha BSC
Marc Oliver Kempf,28.01.1995,28,Alemania,186,87,31,1,0,5,0,0,25.01.2022,VfB Stuttgart,153,20,30.06.2026,No,Hertha BSC
Jonjoe Kenny,15.03.1997,26,Inglaterra,175,72,29,0,1,3,0,0,01.07.2022,FC Everton,60,16,30.06.2025,No,Hertha BSC
Maximilian Mittelstädt,18.03.1997,26,Alemania,181,75,17,0,0,5,0,0,01.07.2012,Hertha Zehlendorf,145,17,30.06.2027,No,Hertha BSC
Peter Pekarik,30.10.1986,36,Eslovaquia,177,73,5,0,0,0,0,0,31.08.2012,VfL Wolfsburg,243,2,30.06.2023,117,Hertha BSC
Marvin Plattenhardt,26.01.1992,31,Alemania,181,79,31,0,3,3,0,0,01.07.2014,1. FC Nürnberg,278,21,30.06.2023,7,Hertha BSC
Agustin Rogel,17.10.1997,25,Uruguay,191,84,20,0,1,7,0,0,31.08.2022,Estudiantes,20,3,30.06.2026,No,Hertha BSC
Lukas Ullrich,16.03.2004,19,Alemania,180,69,0,0,0,0,0,0,01.07.2015,Borussia Friedrichsfelde,0,26,30.06.2023,No,Hertha BSC
Filip Uremovic,11.02.1997,26,Croacia,184,81,22,0,0,6,1,0,01.07.2022,Sheffield United,22,5,30.06.2026,6,Hertha BSC
Kevin-Prince Boateng,06.03.1987,36,Ghana,187,85,16,0,0,3,0,0,01.07.2021,AC Monza,163,27,30.06.2023,15,Hertha BSC
Jean-Paul Boetius,22.03.1994,29,Países Bajos,178,76,21,0,0,3,0,0,08.08.2022,1. FSV Mainz 05,143,10,30.06.2025,1,Hertha BSC
Tolga Cigerci,23.03.1992,31,Turquía,185,80,11,0,1,2,0,0,31.01.2023,MKE Ankaragücü,70,6,30.06.2024,4,Hertha BSC
Suat Serdar,11.04.1997,26,Alemania,184,80,32,4,2,7,0,0,01.07.2021,FC Schalke 04,178,8,30.06.2026,4,Hertha BSC
Ivan Sunjic,09.10.1996,26,Croacia,184,74,18,0,0,4,0,0,05.07.2022,Birmingham City,18,34,30.06.2023,1,Hertha BSC
Lucas Tousart,29.04.1997,26,Francia,185,84,33,5,3,1,0,0,01.07.2020,Olympique Lyon,89,29,30.06.2025,No,Hertha BSC
Chidera Ejuke,02.01.1998,25,Nigeria,174,72,20,0,3,0,0,0,13.07.2022,ZSKA Moskau,20,40,30.06.2023,8,Hertha BSC
Stevan Jovetic,02.11.1989,33,Montenegro,183,79,17,4,2,0,0,0,27.07.2021,AS Monaco,35,19,30.06.2023,67,Hertha BSC
Wilfried Kanga,21.02.1998,25,Costa de Marfil,189,90,23,2,1,3,0,0,30.07.2022,Young Boys Bern,23,18,30.06.2026,No,Hertha BSC
Dodi Lukebakio,24.09.1997,25,Bélgica,187,76,32,11,4,8,0,0,01.07.2022,VfL Wolfsburg,144,14,30.06.2024,7,Hertha BSC
Jessic Ngankam,20.07.2000,22,Alemania,185,87,18,4,2,5,0,0,01.07.2022,SpVgg Greuther Fürth,43,24,30.06.2025,No,Hertha BSC
Florian Niederlechner,24.10.1990,32,Alemania,187,86,30,5,1,3,0,0,18.01.2023,FC Augsburg,197,7,30.06.2025,No,Hertha BSC
Kelian Nsona,11.05.2002,21,Francia,189,80,0,0,0,0,0,0,31.01.2022,SM Caen,0,28,30.06.2026,No,Hertha BSC
Marco Richter,24.11.1997,25,Alemania,176,74,29,6,5,8,0,0,09.08.2021,FC Augsburg,156,23,30.06.2025,No,Hertha BSC
Derry Scherhant,10.11.2002,20,Alemania,185,78,10,1,0,0,0,0,01.10.2020,Berliner SC,10,39,30.06.2025,No,Hertha BSC
Pascal Klemens,23.02.2005,18,Alemania,N.D.,N.D.,1,0,0,0,0,0,01.07.2019,Hertha BSC,1,41,N.D.,No,Hertha BSC
Veit Stange,08.02.2004,19,Alemania,N.D.,N.D.,1,0,0,0,0,0,01.07.2021,Hertha BSC,1,35,N.D.,No,Hertha BSC
Vladimir Darida,08.08.1990,32,Chequia,172,67,3,0,0,0,0,0,01.01.2023,Hertha BSC,224,6,N.D.,76,Hertha BSC
Myziane Maolida,14.02.1999,24,Francia,183,80,3,0,0,0,0,0,31.01.2023,Hertha BSC,17,11,N.D.,No,Hertha BSC
Ibrahim Maza,24.11.2005,17,Alemania,N.D.,N.D.,2,1,0,0,0,0,01.07.2016,Hertha BSC,2,30,N.D.,No,Hertha BSC
Tony Rölke,22.01.2003,20,Alemania,188,76,1,0,0,0,0,0,18.08.2015,Stern Marienfelde,1,44,N.D.,No,Hertha BSC
Davie Selke,20.01.1995,28,Alemania,194,88,30,6,2,3,0,0,02.01.2023,Hertha BSC,219,7,30.06.2024,No,Hertha BSC
Janis Blaswich,02.05.1991,32,Alemania,193,89,26,0,0,0,0,0,01.07.2022,Heracles Almelo,26,21,30.06.2025,No,RB Leipzig
Peter Gulacsi,06.05.1990,33,Hungría,191,86,6,0,0,0,0,0,01.07.2015,RB Salzburg,203,1,30.06.2025,51,RB Leipzig
Jonas Nickisch,21.05.2004,19,Alemania,190,77,0,0,0,0,0,0,01.07.2017,occer for Kids Dresden,0,34,30.06.2023,No,RB Leipzig
Örjan Nyland,10.09.1990,32,Noruega,192,90,2,0,1,0,0,0,09.10.2022,FC Reading,20,13,30.06.2023,44,RB Leipzig
Timo Schlieck,02.03.2006,17,Alemania,193,82,0,0,0,0,0,0,01.07.2021,Borussia Dortmund,0,36,30.06.2023,No,RB Leipzig
Sanoussy Ba,05.01.2004,19,Alemania,184,73,1,0,0,0,0,0,01.07.2016,SpVgg Bayern Hof,1,25,30.06.2025,No,RB Leipzig
Abdou Diallo,04.05.1996,27,Senegal,187,78,8,1,0,2,0,0,01.09.2022,Paris St. Germain,63,37,30.06.2023,No,RB Leipzig
Josko Gvardiol,23.01.2002,21,Croacia,185,80,30,1,0,2,0,0,01.07.2021,Dinamo Zagreb,59,32,30.06.2027,21,RB Leipzig
Marcel Halstenberg,27.09.1991,31,Alemania,188,87,31,1,2,2,0,0,30.08.2015,FC St. Pauli,165,23,30.06.2024,9,RB Leipzig
Benjamin Henrichs,23.02.1997,26,Alemania,185,79,30,2,3,8,0,0,15.07.2020,AS Monaco,127,39,30.06.2025,7,RB Leipzig
Lukas Klostermann,03.06.1996,26,Alemania,189,88,15,0,0,0,0,0,22.08.2014,VfL Bochum,145,16,30.06.2024,21,RB Leipzig
Willi Orban,03.11.1992,30,Hungría,186,88,33,4,0,3,0,0,01.07.2015,1. FC Kaiserslautern,184,4,30.06.2025,39,RB Leipzig
David Raum,22.04.1998,25,Alemania,180,75,28,0,2,5,0,0,31.07.2022,TSG Hoffenheim,60,22,30.06.2027,17,RB Leipzig
Mohamed Simakan,03.05.2000,23,Francia,187,82,24,1,2,2,0,0,01.07.2021,Racing Straßburg,52,2,30.06.2027,No,RB Leipzig
Caden Clark,27.05.2003,20,Estados Unidos,180,N.D.,0,0,0,0,0,0,01.01.2023,New York Red Bulls,0,28,30.06.2025,No,RB Leipzig
Dani Olmo,07.05.1998,25,España,179,72,23,2,7,2,0,0,25.01.2020,Dinamo Zagreb,86,7,30.06.2024,30,RB Leipzig
Emil Forsberg,23.10.1991,31,Suecia,177,76,30,6,4,2,0,0,07.01.2015,Malmö FF,183,10,30.06.2025,80,RB Leipzig
Amadou Haidara,31.01.1998,25,Malí,175,72,31,2,2,7,0,0,01.01.2019,RB Salzburg,110,8,30.06.2025,34,RB Leipzig
Kevin Kampl,09.10.1990,32,Eslovenia,178,66,30,2,2,8,0,0,31.08.2017,Bayer 04 Leverkusen,215,44,30.06.2024,28,RB Leipzig
Konrad Laimer,27.05.1997,26,Austria,180,72,21,3,0,8,0,0,01.07.2017,RB Salzburg,130,27,30.06.2023,26,RB Leipzig
Xaver Schlager,28.09.1997,25,Austria,174,78,22,1,1,2,0,0,01.07.2022,VfL Wolfsburg,91,24,30.06.2026,33,RB Leipzig
Dominik Szoboszlai,25.10.2000,22,Hungría,186,74,31,6,8,3,1,1,02.01.2021,RB Salzburg,62,17,30.06.2026,30,RB Leipzig
Christopher Nkunku,14.11.1997,25,Francia,179,73,25,16,8,4,0,0,18.07.2019,Paris St. Germain,119,18,30.06.2026,8,RB Leipzig
