Jugador,Nacimiento,Edad,Nación,Altura,Peso,PJ,Goles,Asistencias,TA,TAR,TR,Desde,De,BL,Número,Contrato,Selección,Club
Bilal El Khannouss,10.05.2004,21,Marruecos,180,70,12,3,3,2,0,0,01.09.2025,Leicester City,12,11,30.06.2026,28,VfB Stuttgart
Chris Führich,09.01.1998,27,Alemania,181,73,14,2,2,0,0,0,19.07.2021,SC Paderborn 07,141,10,30.06.2028,8,VfB Stuttgart
Lazar Jovanovic,30.11.2006,19,Serbia,184,76,3,0,0,0,0,0,08.07.2025,OFK Belgrad,3,45,30.06.2029,No,VfB Stuttgart
Atakan Karazor,13.10.1996,29,Turquía,191,76,13,0,0,1,0,0,01.07.2019,Holstein Kiel,150,16,30.06.2028,2,VfB Stuttgart
Nikolas Nartey,22.02.2000,25,Dinamarca,187,82,13,0,0,1,0,0,01.07.2021,SV Sandhausen,32,28,30.06.2026,0,VfB Stuttgart
Silas,06.10.1998,27,RD Congo,189,82,0,0,0,0,0,0,01.07.2025,Roter Stern Belgrad,91,13,30.06.2026,18,VfB Stuttgart
Angelo Stiller,04.04.2001,24,Alemania,183,77,15,1,4,1,0,0,25.08.2023,TSG Hoffenheim,125,6,30.08.2028,5,VfB Stuttgart
Jeremy Arevalo,19.03.2005,20,Ecuador,180,N.D.,0,0,0,0,0,0,02.01.2026,Racing Santander,0,25,30.06.2031,No,VfB Stuttgart
Badredine Bouanani,08.12.2004,21,Argelia,177,68,9,0,0,1,0,0,31.08.2025,OGC Nizza,9,27,30.06.2030,5,VfB Stuttgart
Ermedin Demirovic,25.03.1998,27,Bosnia-Herzegovina,185,84,6,3,2,1,0,0,16.07.2024,FC Augsburg,164,9,30.06.2028,36,VfB Stuttgart
Justin Diehl,27.11.2004,21,Alemania,174,67,0,0,0,0,0,0,01.07.2024,1. FC Köln,15,17,30.06.2029,No,VfB Stuttgart
Jamie Leweling,26.02.2001,24,Alemania,185,86,14,1,6,3,0,0,13.07.2023,1. FC Union Berlin,124,18,30.06.2029,4,VfB Stuttgart
Tiago Tomas,16.06.2002,23,Portugal,180,78,14,3,0,2,0,0,16.08.2025,VfL Wolfsburg,113,8,30.06.2029,No,VfB Stuttgart
Deniz Undav,19.07.1996,29,Alemania,179,86,11,8,0,3,0,0,09.08.2024,Brighton & Hove Albion,68,26,30.06.2027,6,VfB Stuttgart
Nick Woltemade,14.02.2002,23,Alemania,198,90,1,0,0,0,0,0,30.08.2025,VfB Stuttgart,70,11,N.D.,8,VfB Stuttgart
Kamil Grabara,08.01.1999,26,Polonia,195,92,15,0,0,1,0,0,01.07.2024,FC Kopenhagen,44,1,30.06.2028,3,VfL Wolfsburg
Marius Müller,12.07.1993,32,Alemania,192,94,0,0,0,0,0,0,01.07.2024,FC Schalke 04,6,29,30.06.2027,No,VfL Wolfsburg
Pavao Pervan,13.11.1987,38,Austria,194,94,0,0,0,0,0,0,01.07.2018,LASK Linz,34,12,30.06.2026,7,VfL Wolfsburg
Jakub Zielinski,21.02.2008,17,Polonia,194,86,0,0,0,0,0,0,01.07.2025,Legia Warschau,34,30,30.06.2028,7,VfL Wolfsburg
Mathys Angely,21.04.2007,18,Francia,190,79,0,0,0,0,0,0,13.08.2024,Girondins Bordeaux,34,22,30.06.2029,7,VfL Wolfsburg
Cleiton,24.05.2003,22,Brasil,N.D.,N.D.,0,0,0,0,0,0,N.A.,Flamengo,34,0,N.D.,7,VfL Wolfsburg
Kilian Fischer,12.10.2000,25,Alemania,182,76,7,0,0,0,0,0,01.07.2022,1. FC Nürnberg,55,2,30.06.2027,No,VfL Wolfsburg
Moritz Jenz,30.04.1999,26,Alemania,190,83,8,0,0,3,0,0,01.07.2025,1. FSV Mainz 05,60,15,30.06.2027,No,VfL Wolfsburg
Konstantinos Koulierakis,28.11.2003,22,Grecia,188,78,14,0,0,3,0,0,30.08.2024,PAOK,44,4,30.06.2029,19,VfL Wolfsburg
Sael Kumbedi,26.03.2005,20,Francia,175,67,9,0,4,1,0,0,28.08.2025,Olympique Lyon,9,26,30.06.2029,No,VfL Wolfsburg
Joakim Maehle,20.05.1997,28,Dinamarca,185,82,7,0,1,0,0,0,12.08.2023,Atalanta Bergamo,65,21,30.06.2027,55,VfL Wolfsburg
Rogerio,13.01.1998,27,Brasil,178,70,13,1,0,0,0,0,05.08.2023,Sassuolo Calcio,13,13,30.06.2027,No,VfL Wolfsburg
Jenson Seelt,23.05.2003,22,Países Bajos,195,84,9,0,0,0,0,0,01.09.2025,AFC Sunderland,9,14,30.06.2026,No,VfL Wolfsburg
Denis Vavro,10.04.1996,29,Eslovaquia,189,81,4,1,0,1,0,0,30.08.2024,FC Kopenhagen,33,3,30.06.2027,30,VfL Wolfsburg
Aaron Zehnter,31.10.2004,21,Alemania,180,69,12,2,0,0,0,0,01.07.2025,SC Paderborn 07,13,25,30.06.2030,No,VfL Wolfsburg
Maximilian Arnold,27.05.1994,31,Alemania,184,76,14,1,3,4,0,0,01.07.2009,Dynamo Dresden,389,27,30.06.2028,3,VfL Wolfsburg
Bence Dardai,24.01.2006,19,Hungría,188,77,1,0,0,0,0,0,01.07.2024,Hertha BSC,22,8,N.D.,3,VfL Wolfsburg
Christian Eriksen,14.02.1992,33,Dinamarca,177,71,12,0,3,1,0,0,10.09.2025,Manchester United,12,24,30.06.2027,147,VfL Wolfsburg
Yannick Gerhardt,13.03.1994,31,Alemania,184,85,6,0,0,0,0,0,01.07.2016,1. FC Köln,282,31,N.D.,1,VfL Wolfsburg
Jesper Lindström,29.02.2000,25,Dinamarca,182,66,2,0,0,0,0,0,23.07.2025,SSC Neapel,59,19,30.06.2026,18,VfL Wolfsburg
Lovro Majer,17.01.1998,27,Croacia,179,76,13,2,2,3,0,0,16.08.2023,Stade Rennes,54,10,30.06.2028,37,VfL Wolfsburg
Kevin Paredes,07.05.2003,22,EE.UU,175,66,2,0,1,1,0,0,28.01.2022,DC United,54,40,30.06.2026,3,VfL Wolfsburg
Andreas Skov Olsen,29.12.1999,26,Dinamarca,187,75,8,1,0,1,0,0,17.01.2025,Club Brügge,20,7,30.06.2029,40,VfL Wolfsburg
Mattias Svanberg,05.01.1999,26,Suecia,185,81,14,2,1,1,1,0,16.07.2022,FC Bologna,91,32,30.06.2027,37,VfL Wolfsburg
Vinicius Souza,17.06.1999,26,Brasil,187,80,12,0,0,1,0,0,05.07.2025,Sheffield United,12,5,30.06.2030,No,VfL Wolfsburg
Patrick Wimmer,30.05.2001,24,Austria,182,82,12,3,3,3,0,0,01.07.2022,Arminia Bielefeld,112,39,30.06.2027,28,VfL Wolfsburg
Mohammed Amoura,09.05.2000,25,Argelia,170,62,14,6,3,2,0,0,08.07.2024,Union Saint-Gilloise,45,9,30.06.2029,41,VfL Wolfsburg
Adam Daghim,28.09.2005,20,Dinamarca,189,80,9,2,0,0,0,0,01.09.2025,RB Salzburg,9,11,30.06.2026,No,VfL Wolfsburg
Dzenan Pejcinovic,15.02.2005,20,Alemania,188,78,13,3,0,1,0,0,01.07.2025,Fortuna Düsseldorf,18,17,30.06.2029,No,VfL Wolfsburg
Jonas Wind,07.02.1999,26,Dinamarca,190,82,8,0,0,1,0,0,31.01.2022,FC Kopenhagen,111,23,30.06.2026,37,VfL Wolfsburg
Jan Bürger,10.03.2007,18,Alemania,N.D.,N.D.,3,0,0,0,0,0,01.07.2021,VfL Wolfsburg,3,41,N.D.,No,VfL Wolfsburg
Vaclav Cerny,17.10.1997,28,República Checa,182,68,2,0,0,0,0,0,02.09.2025,VfL Wolfsburg,24,18,N.D.,30,VfL Wolfsburg
Pharell Hensel,08.06.2007,18,Alemania,N.D.,N.D.,3,0,0,0,0,0,01.07.2023,VfL Wolfsburg,3,37,N.D.,No,VfL Wolfsburg
Simon Spari,01.01.2002,23,Austria,196,89,0,0,0,0,0,0,01.07.2025,Austria Klagenfurt,0,30,N.D.,No,FC St Pauli
Nikola Vasilj,02.12.1995,29,Bosnia-Herzegovina,193,86,10,0,0,0,0,0,01.07.2021,Sorja Luhansk,43,22,N.D.,21,FC St Pauli
Ben Voll,09.12.2000,24,Alemania,195,86,0,0,0,0,0,0,01.07.2024,FC Viktoria Köln,2,1,N.D.,No,FC St Pauli
Adam Dzwigala,25.09.1995,30,Polonia,185,80,6,1,0,3,0,0,17.12.2020,Desportivo Aves,22,25,N.D.,0,FC St Pauli
Karol Mets,16.05.1993,32,Estonia,191,82,4,0,0,0,0,0,05.01.2023,FC Zürich,14,3,N.D.,101,FC St Pauli
David Nemeth,18.03.2001,24,Austria,191,89,0,0,0,0,0,0,01.07.2022,1. FSV Mainz 05,30,4,N.D.,No,FC St Pauli
Louis Oppie,17.05.2002,23,Alemania,184,81,10,1,0,0,0,0,11.07.2025,Arminia Bielefeld,10,23,N.D.,No,FC St Pauli
Arkadiusz Pyrka,20.09.2002,23,Polonia,177,70,7,0,0,2,0,0,01.07.2025,Piast Gleiwitz,7,11,N.D.,1,FC St Pauli
Lars Ritzka,07.05.1998,27,Alemania,182,78,6,0,0,0,0,0,01.07.2021,SC Verl,27,21,N.D.,No,FC St Pauli
Jannik Robatsch,28.12.2004,20,Austria,190,78,0,0,0,0,0,0,01.07.2025,Austria Klagenfurt,0,34,N.D.,No,FC St Pauli
Manolis Saliakas,12.09.1996,29,Grecia,177,74,8,0,1,2,0,0,01.07.2022,PAS Ioannina,38,2,N.D.,4,FC St Pauli
Eric Smith,08.01.1997,28,Suecia,192,86,10,1,0,2,0,0,07.01.2021,IFK Norrköping,42,8,N.D.,No,FC St Pauli
Fin Stevens,10.04.2003,22,Gales,179,73,0,0,0,0,0,0,26.07.2024,FC Brentford,1,14,N.D.,2,FC St Pauli
Hauke Wahl,15.04.1994,31,Alemania,189,85,9,1,0,0,0,0,01.07.2023,Holstein Kiel,42,5,N.D.,No,FC St Pauli
Erik Ahlstrand,14.10.2001,24,Suecia,184,75,0,0,0,0,0,0,27.01.2024,Halmstads BK,5,20,N.D.,1,FC St Pauli
Joel Chima Fujita,16.02.2002,23,Japón,175,70,10,0,1,2,0,0,01.07.2025,K. Sint-Truidense VV,10,16,N.D.,6,FC St Pauli
Jackson Irvine,07.03.1993,32,Australia,189,74,3,0,0,0,0,0,05.07.2021,Hibernian Edinburgh,32,7,N.D.,78,FC St Pauli
Connor Metcalfe,05.11.1999,26,Australia,178,70,10,0,1,0,0,0,01.07.2022,Melbourne City,20,24,N.D.,30,FC St Pauli
James Sands,06.07.2000,25,EE.UU,186,76,9,0,0,2,0,0,01.01.2025,New York City FC,16,6,N.D.,14,FC St Pauli
Nick Schmidt,12.09.2007,18,Japón,180,72,0,0,0,0,0,0,01.07.2015,FC St. Pauli,0,44,N.D.,No,FC St Pauli
Marwin Schmitz,07.01.2007,18,Alemania,180,72,0,0,0,0,0,0,01.07.2017,FTSV Komet Blankenese,0,42,N.D.,No,FC St Pauli
Danel Sinani,05.04.1997,28,Luxemburgo,185,77,10,2,1,2,0,0,04.07.2023,Wigan Athletic,36,10,N.D.,76,FC St Pauli
Oladapo Afolayan,11.09.1997,28,Inglaterra,180,71,7,0,0,1,0,0,20.01.2023,Bolton Wanderers,39,17,N.D.,No,FC St Pauli
Romeo Aigbekaen,22.06.2004,21,Alemania,188,81,0,0,0,0,0,0,01.07.2024,1. FC Düren,0,38,N.D.,No,FC St Pauli
Abdoulie Ceesay,05.01.2004,21,Gambia,185,79,7,0,1,2,0,0,03.01.2025,Paide Linnameeskond,14,9,N.D.,6,FC St Pauli
Andreas Hountondji,11.07.2002,23,Benín,190,86,9,3,0,1,0,0,08.07.2025,Standard Lüttich,9,27,N.D.,19,FC St Pauli
Ricky-Jade Jones,08.11.2002,23,Inglaterra,183,70,0,0,0,0,0,0,01.07.2025,Peterborough United,9,26,N.D.,19,FC St Pauli
Martijn Kaars,05.03.1999,26,Países Bajos,183,74,9,0,0,0,0,0,28.08.2025,1. FC Magdeburg,9,19,N.D.,No,FC St Pauli
Lage Mathias Pereira,30.11.1996,28,Portugal,180,69,10,0,1,1,0,0,01.07.2025,Stade Brest,10,28,N.D.,No,FC St Pauli
Mio Backhaus,16.04.2004,21,Alemania,194,82,13,0,0,0,0,0,01.07.2024,FC Volendam,13,30,N.D.,No,Werder Bremen
Karl Hein,13.04.2002,23,Estonia,194,86,2,0,0,0,0,0,22.08.2025,FC Arsenal,2,13,30.06.2026,44,Werder Bremen
Markus Kolke,18.08.1990,35,Alemania,187,90,0,0,0,0,0,0,01.07.2024,Hansa Rostock,0,25,30.06.2027,No,Werder Bremen
Stefan Smarkalev,14.05.2007,18,Bulgaria,188,84,0,0,0,0,0,0,01.07.2024,Botev Plovdiv,0,37,N.D.,No,Werder Bremen
Felix Agu,27.09.1999,26,Nigeria,180,73,6,0,0,1,0,0,01.07.2020,VfL Osnabrück,70,27,N.D.,1,Werder Bremen
Karim Coulibaly,03.06.1993,32,Francia,184,78,0,0,0,0,0,0,31.01.2020,Willem II Tilburg,0,0,N.D.,No,Werder Bremen
Olivier Deman,06.04.2000,25,Bélgica,181,74,0,0,0,0,0,0,01.07.2025,Royal Antwerp FC,38,2,N.D.,3,Werder Bremen
Marco Friedl,16.03.1998,27,Austria,187,82,14,1,0,4,0,0,25.01.2018,Bayern München,171,32,N.D.,8,Werder Bremen
Julian Malatini,31.05.2001,24,Argentina,191,82,3,0,0,1,0,0,16.01.2024,Defensa y Justicia,24,22,N.D.,No,Werder Bremen
Amos Pieper,17.01.1998,27,Alemania,192,83,9,0,0,3,0,0,01.07.2022,Arminia Bielefeld,125,5,N.D.,No,Werder Bremen
Mick Schmetgens,09.09.2007,18,Alemania,185,75,0,0,0,0,0,0,01.07.2021,JFV A/O/Heeslingen,0,33,N.D.,No,Werder Bremen
Isaac Schmidt,07.12.1999,26,Suiza,172,68,8,1,0,1,0,0,28.08.2025,Leeds United,8,23,30.06.2026,5,Werder Bremen
Niklas Stark,14.04.1995,30,Alemania,190,84,7,0,0,1,2,0,01.07.2022,Hertha BSC,277,4,N.D.,2,Werder Bremen
Yukinari Sugawara,28.06.2000,25,Japón,179,71,14,0,3,1,0,0,26.08.2025,FC Southampton,14,3,N.D.,18,Werder Bremen
Maximilian Wöber,04.02.1998,27,Austria,188,85,0,0,0,0,0,0,04.07.2025,Leeds United,25,39,N.D.,31,Werder Bremen
Wesley Adeh,08.01.2007,18,Alemania,187,81,0,0,0,0,0,0,01.07.2019,SC Vahr-Blockdiek,0,34,N.D.,No,Werder Bremen
Skelly Alvero,04.05.2002,23,Francia,202,93,2,0,0,0,0,0,31.01.2024,Olympique Lyon,20,28,N.D.,No,Werder Bremen
Leonardo Bittencourt,19.12.1993,32,Alemania,170,72,8,0,0,1,0,0,02.09.2019,TSG Hoffenheim,295,10,N.D.,No,Werder Bremen
Patrice Covic,25.06.2007,18,Croacia,176,72,9,0,0,1,0,0,01.07.2024,Hertha BSC,9,24,N.D.,No,Werder Bremen
Isak Hansen-Aaröen,22.08.2004,21,Noruega,173,67,1,0,0,0,0,0,01.07.2025,Aalborg BK,4,21,N.D.,No,Werder Bremen
Senne Lynen,19.02.1999,26,Bélgica,185,80,14,0,1,2,0,0,08.08.2023,Union Saint-Gilloise,78,14,N.D.,No,Werder Bremen
Cameron Puertas,18.08.1998,27,España,178,74,13,0,0,3,0,0,04.09.2025,Al-Qadisiya,13,18,30.06.2026,No,Werder Bremen
Romano Schmid,27.01.2000,25,Austria,168,70,15,2,4,3,0,0,01.07.2020,Wolfsberger AC,129,20,N.D.,31,Werder Bremen
Jens Stage,08.11.1996,29,Dinamarca,187,81,13,5,1,3,0,0,01.07.2022,FC Kopenhagen,103,6,N.D.,2,Werder Bremen
Mitchell Weiser,21.04.1994,31,Alemania,177,71,32,5,10,7,1,0,31.08.2021,Bayer 04 Leverkusen,232,8,N.D.,No,Werder Bremen
Victor Boniface,23.12.2000,25,Nigeria,190,91,11,0,2,1,0,0,01.09.2025,Bayer 04 Leverkusen,53,44,N.D.,13,Werder Bremen
Marco Grüll,06.07.1998,27,Austria,184,80,15,2,1,4,0,0,01.07.2024,Rapid Wien,45,17,N.D.,8,Werder Bremen
Samuel Mbangula,16.01.2004,21,Bélgica,171,68,13,3,3,0,0,0,23.07.2025,Juventus Turin,13,7,N.D.,0,Werder Bremen
Salim Musah,22.02.2006,19,Alemania,198,83,0,0,0,0,0,0,01.07.2017,VfL Oldenburg,0,29,N.D.,No,Werder Bremen
Justin Njinmah,15.11.2000,25,Alemania,185,79,14,3,0,1,0,0,01.07.2023,Borussia Dortmund,65,11,N.D.,No,Werder Bremen
Keke Topp,25.03.2004,21,Alemania,192,87,11,0,1,3,0,0,01.07.2024,FC Schalke 04,31,9,N.D.,No,Werder Bremen
Patrick Drewes,04.02.1993,32,Alemania,194,87,0,0,0,0,0,0,01.07.2025,VfL Bochum,21,30,30.06.2027,No,Borussia Dortmund
Gregor Kobel,06.12.1997,28,Suiza,196,88,15,0,0,1,0,0,01.07.2021,VfB Stuttgart,180,1,30.06.2028,19,Borussia Dortmund
Alexander Meyer,13.04.1991,34,Alemania,195,88,0,0,0,0,0,0,01.07.2022,Jahn Regensburg,17,33,30.06.2027,No,Borussia Dortmund
Silas Ostrzinski,19.11.2003,22,Alemania,198,93,0,0,0,0,0,0,01.07.2018,SpVgg Hagen,0,31,N.D.,No,Borussia Dortmund
Aaron Anselmino,29.04.2005,20,Argentina,186,83,5,1,0,0,0,0,27.08.2025,FC Chelsea,5,28,30.06.2026,No,Borussia Dortmund
Waldemar Anton,20.07.1996,29,Alemania,189,86,13,1,0,1,0,0,08.07.2024,VfB Stuttgart,235,3,30.06.2028,12,Borussia Dortmund
Ramy Bensebaini,16.04.1995,30,Argelia,186,82,11,1,0,3,0,0,01.07.2023,Bor. Mönchengladbach,154,5,30.06.2027,78,Borussia Dortmund
Emre Can,12.01.1994,31,Alemania,186,86,4,1,0,1,0,0,31.01.2020,Juventus Turin,184,23,30.06.2026,48,Borussia Dortmund
Almugera Kabar,06.06.2006,19,Alemania,186,78,0,0,0,0,0,0,01.07.2019,Hammer SpVgg,5,42,30.06.2028,No,Borussia Dortmund
Filippo Mane,08.03.2005,20,Italia,188,78,2,0,0,0,0,1,09.01.2022,Sampdoria Genua,2,39,30.06.2028,No,Borussia Dortmund
Julian Ryerson,17.11.1997,28,Noruega,183,81,14,0,3,4,0,0,17.01.2023,1. FC Union Berlin,160,26,30.06.2028,39,Borussia Dortmund
Nico Schlotterbeck,01.12.1999,26,Alemania,191,89,11,1,2,3,0,0,01.07.2022,SC Freiburg,160,4,30.06.2027,23,Borussia Dortmund
Niklas Süle,03.09.1995,30,Alemania,195,91,3,0,1,0,0,0,01.07.2022,Bayern München,292,25,30.06.2026,49,Borussia Dortmund
Daniel Svensson,12.02.2002,23,Suecia,183,72,15,1,1,0,0,0,03.02.2025,FC Nordsjaelland,27,24,30.06.2029,9,Borussia Dortmund
Yan Couto,03.06.2002,23,Brasil,168,60,10,1,3,4,0,0,03.08.2024,Manchester City,31,2,N.D.,4,Borussia Dortmund
Jobe Bellingham,23.09.2005,20,Inglaterra,191,75,14,0,0,0,0,1,10.06.2025,AFC Sunderland,14,7,30.06.2030,No,Borussia Dortmund
Julian Brandt,02.05.1996,29,Alemania,185,83,12,4,2,0,0,0,01.07.2019,Bayer 04 Leverkusen,366,10,30.06.2026,48,Borussia Dortmund
Carney Chukwuemeka,20.10.2003,22,Inglaterra,187,77,12,1,0,0,0,0,26.08.2025,FC Chelsea,22,17,30.06.2030,No,Borussia Dortmund
Felix Nmecha,10.10.2000,25,Alemania,188,73,15,1,2,0,0,0,03.07.2023,VfL Wolfsburg,107,8,30.06.2028,6,Borussia Dortmund
Salih Özcan,11.01.1998,27,Turquía,182,75,3,0,0,0,0,0,28.01.2025,VfL Wolfsburg,169,6,30.06.2026,27,Borussia Dortmund
Marcel Sabitzer,17.03.1994,31,Austria,178,76,12,0,1,1,0,0,24.07.2023,Bayern München,248,20,30.06.2027,95,Borussia Dortmund
Karim Adeyemi,18.01.2002,23,Alemania,180,75,15,4,1,2,0,0,01.07.2022,RB Salzburg,85,27,30.06.2027,11,Borussia Dortmund
Maximilian Beier,17.10.2002,23,Alemania,185,72,13,4,2,2,0,0,12.08.2024,TSG Hoffenheim,84,14,30.06.2029,7,Borussia Dortmund
Cole Campbell,20.02.2006,19,EE.UU,170,68,1,0,0,0,0,0,01.07.2022,UMF Breidablik,5,37,30.06.2028,No,Borussia Dortmund
Julien Duranville,05.05.2006,19,Bélgica,170,59,0,0,0,0,0,0,27.01.2023,RSC Anderlecht,15,16,30.06.2027,2,Borussia Dortmund
Fabio Silva,19.07.2002,23,Portugal,185,75,9,0,3,1,0,0,29.08.2025,Wolverhampton Wanderers,9,21,30.06.2030,1,Borussia Dortmund
Serhou Guirassy,12.03.1996,29,Guinea,187,82,14,5,2,2,0,0,18.07.2024,VfB Stuttgart,115,9,30.06.2028,26,Borussia Dortmund
Pascal Groß,15.06.1991,34,Alemania,181,78,11,0,1,0,0,0,02.01.2026,Borussia Dortmund,111,13,N.D.,16,Borussia Dortmund
